 Magic Resistance,Skyrim.esm:053128
Daedric Helmet of Extreme Illusion,Skyrim.esm:0D7AE2
Daedric Helmet of Extreme Magicka,Skyrim.esm:0D7AE5
Daedric Helmet of Extreme Magicka,Skyrim.esm:0D7AE6
Daedric Helmet of Extreme Restoration,Skyrim.esm:0D7AEB
Daedric Helmet of Peerless Alchemy,Skyrim.esm:0D7AD4
Daedric Helmet of Peerless Alteration,Skyrim.esm:0D7AD7
Daedric Helmet of Peerless Archery,Skyrim.esm:0D7AE9
Daedric Helmet of Peerless Conjuring,Skyrim.esm:0D7ADA
Daedric Helmet of Peerless Destruction,Skyrim.esm:0D7ADD
Daedric Helmet of Peerless Illusion,Skyrim.esm:0D7AE3
Daedric Helmet of Peerless Magicka,Skyrim.esm:0D7AE6
Daedric Helmet of Peerless Restoration,Skyrim.esm:0D7AEC
Daedric Helmet of Recovery,Skyrim.esm:0FE303
Daedric Helmet of Replenishing,Skyrim.esm:0FE301
Daedric Helmet of Resurgence,Skyrim.esm:0FE302
Daedric Helmet of Waterbreathing,Skyrim.esm:0D7AED
Daedric Helmet,Requiem.esp:AD38C2
Daedric Helmet,Skyrim.esm:01396D
Daedric Helmet,Skyrim.esm:10F75F
Daedric Katana,Requiem.esp:ADDE0A
Daedric Mace of Animus,Skyrim.esm:028DFF
Daedric Mace of Annihilating,Skyrim.esm:028DE4
Daedric Mace of Banishing,Skyrim.esm:028DE2
Daedric Mace of Blizzards,Skyrim.esm:028DEC
Daedric Mace of Damnation,Skyrim.esm:028E28
Daedric Mace of Debilitation,Skyrim.esm:028E32
Daedric Mace of Depleting,Skyrim.esm:028DEE
Daedric Mace of Despair,Skyrim.esm:028DE5
Daedric Mace of Devouring,Skyrim.esm:028DC6
Daedric Mace of Dread,Skyrim.esm:028DE6
Daedric Mace of Enervating,Skyrim.esm:028DEF
Daedric Mace of Evoking,Skyrim.esm:028DDB
Daedric Mace of Exhaustion,Skyrim.esm:028E5D
Daedric Mace of Expelling,Skyrim.esm:028DE3
Daedric Mace of Fire,Skyrim.esm:028DE8
Daedric Mace of Freezing,Skyrim.esm:028DEB
Daedric Mace of Garnering,Skyrim.esm:028DDF
Daedric Mace of Harvesting,Skyrim.esm:028DDE
Daedric Mace of Holy Light,Skyrim.esm:028E76
Daedric Mace of Immobilizing,Skyrim.esm:028DF2
Daedric Mace of Leeching,Skyrim.esm:028DC9
Daedric Mace of Lethargy,Skyrim.esm:028E33
Daedric Mace of Lightning,Skyrim.esm:028DF6
Daedric Mace of Malediction,Skyrim.esm:028E00
Daedric Mace of Nullifying,Skyrim.esm:028DF0
Daedric Mace of Petrifying,Skyrim.esm:028DF4
Daedric Mace of Repulsion,Skyrim.esm:028E6A
Daedric Mace of Storms,Skyrim.esm:028DF7
Daedric Mace of Stunning,Skyrim.esm:028DF1
Daedric Mace of Subsuming,Skyrim.esm:028DE1
Daedric Mace of Terror,Skyrim.esm:028DE7
Daedric Mace of the Blaze,Skyrim.esm:028DE9
Daedric Mace of the Inferno,Skyrim.esm:028DEA
Daedric Mace of the Inferno,Skyrim.esm:10FD5E
Daedric Mace of the Sorcerer,Skyrim.esm:028DDC
Daedric Mace of the Vampire,Skyrim.esm:028DD4
Daedric Mace of Thunderbolts,Skyrim.esm:028DF5
Daedric Mace of Turning,Skyrim.esm:028E75
Daedric Mace of Winnowing,Skyrim.esm:028DD9
Daedric Mace of Winter,Skyrim.esm:028DED
Daedric Mace,Requiem.esp:AD3A87
Daedric Mace,Skyrim.esm:0139B8
Daedric Quarterstaff of Animus,Requiem.esp:ADE04B
Daedric Quarterstaff of Annihilating,Requiem.esp:ADE035
Daedric Quarterstaff of Banishing,Requiem.esp:ADE033
Daedric Quarterstaff of Blizzards,Requiem.esp:ADE040
Daedric Quarterstaff of Damnation,Requiem.esp:ADE04D
Daedric Quarterstaff of Debilitation,Requiem.esp:ADE04E
Daedric Quarterstaff of Depleting,Requiem.esp:ADE042
Daedric Quarterstaff of Despair,Requiem.esp:ADE039
Daedric Quarterstaff of Devouring,Requiem.esp:ADE02A
Daedric Quarterstaff of Dread,Requiem.esp:ADE03A
Daedric Quarterstaff of Enervating,Requiem.esp:ADE043
Daedric Quarterstaff of Evoking,Requiem.esp:ADE02E
Daedric Quarterstaff of Exhaustion,Requiem.esp:ADE050
Daedric Quarterstaff of Expelling,Requiem.esp:ADE034
Daedric Quarterstaff of Extreme Chaos,Requiem.esp:ADE037
Daedric Quarterstaff of Fire,Requiem.esp:ADE03C
Daedric Quarterstaff of Freezing,Requiem.esp:ADE03F
Daedric Quarterstaff of Garnering,Requiem.esp:ADE031
Daedric Quarterstaff of Harvesting,Requiem.esp:ADE030
Daedric Quarterstaff of High Chaos,Requiem.esp:ADE036
Daedric Quarterstaff of Holy Light,Requiem.esp:ADE053
Daedric Quarterstaff of Immobilizing,Requiem.esp:ADE046
Daedric Quarterstaff of Leeching,Requiem.esp:ADE02B
Daedric Quarterstaff of Lethargy,Requiem.esp:ADE04F
Daedric Quarterstaff of Lightning,Requiem.esp:ADE049
Daedric Quarterstaff of Malediction,Requiem.esp:ADE04C
Daedric Quarterstaff of Nullifying,Requiem.esp:ADE044
Daedric Quarterstaff of Petrifying,Requiem.esp:ADE047
Daedric Quarterstaff of Repulsion,Requiem.esp:ADE051
Daedric Quarterstaff of Storms,Requiem.esp:ADE04A
Daedric Quarterstaff of Stunning,Requiem.esp:ADE045
Daedric Quarterstaff of Subsuming,Requiem.esp:ADE032
Daedric Quarterstaff of Terror,Requiem.esp:ADE03B
Daedric Quarterstaff of the Blaze,Requiem.esp:ADE03D
Daedric Quarterstaff of the Inferno,Requiem.esp:ADE03E
Daedric Quarterstaff of the Sorcerer,Requiem.esp:ADE02F
Daedric Quarterstaff of the Vampire,Requiem.esp:ADE02C
Daedric Quarterstaff of Thunderbolts,Requiem.esp:ADE048
Daedric Quarterstaff of Turning,Requiem.esp:ADE052
Daedric Quarterstaff of Ultimate Chaos,Requiem.esp:ADE038
Daedric Quarterstaff of Winnowing,Requiem.esp:ADE02D
Daedric Quarterstaff of Winter,Requiem.esp:ADE041
Daedric Quarterstaff,Requiem.esp:ADDF27
Daedric Shield of Eminent Blocking,Skyrim.esm:0D7AEE
Daedric Shield of Extreme Blocking,Skyrim.esm:0D7AEF
Daedric Shield of Fire Abatement,Skyrim.esm:0D7AF2
Daedric Shield of Fire Suppression,Skyrim.esm:0D7AF1
Daedric Shield of Frost Abatement,Skyrim.esm:0D7AF5
Daedric Shield of Frost Suppression,Skyrim.esm:0D7AF4
Daedric Shield of Grounding,Skyrim.esm:0D7AF9
Daedric Shield of Magic Abatement,Skyrim.esm:10DFA2
Daedric Shield of Magic Suppression,Skyrim.esm:10DFA1
Daedric Shield of Nullification,Skyrim.esm:10DFA3
Daedric Shield of Peerless Blocking,Skyrim.esm:0D7AF0
Daedric Shield of Shock Abatement,Skyrim.esm:0D7AF8
Daedric Shield of Shock Suppression,Skyrim.esm:0D7AF7
Daedric Shield of the Firewalker,Skyrim.esm:0D7AF3
Daedric Shield of the Nullification,Skyrim.esm:10DFA3
Daedric Shield of Warmth,Skyrim.esm:0D7AF6
Daedric Shield,Requiem.esp:AD3A8D
Daedric Shield,Skyrim.esm:01396E
Daedric Shortsword of Animus,Requiem.esp:ADE021
Daedric Shortsword of Annihilating,Requiem.esp:ADE00B
Daedric Shortsword of Banishing,Requiem.esp:ADE009
Daedric Shortsword of Blizzards,Requiem.esp:ADE016
Daedric Shortsword of Damnation,Requiem.esp:ADE023
Daedric Shortsword of Debilitation,Requiem.esp:ADE024
Daedric Shortsword of Depleting,Requiem.esp:ADE018
Daedric Shortsword of Despair,Requiem.esp:ADE00F
Daedric Shortsword of Devouring,Requiem.esp:ADE000
Daedric Shortsword of Dread,Requiem.esp:ADE010
Daedric Shortsword of Enervating,Requiem.esp:ADE019
Daedric Shortsword of Evoking,Requiem.esp:ADE004
Daedric Shortsword of Exhaustion,Requiem.esp:ADE026
Daedric Shortsword of Expelling,Requiem.esp:ADE00A
Daedric Shortsword of Extreme Chaos,Requiem.esp:ADE00D
Daedric Shortsword of Fire,Requiem.esp:ADE012
Daedric Shortsword of Freezing,Requiem.esp:ADE015
Daedric Shortsword of Garnering,Requiem.esp:ADE007
Daedric Shortsword of Harvesting,Requiem.esp:ADE006
Daedric Shortsword of High Chaos,Requiem.esp:ADE00C
Daedric Shortsword of Holy Light,Requiem.esp:ADE029
Daedric Shortsword of Immobilizing,Requiem.esp:ADE01C
Daedric Shortsword of Leeching,Requiem.esp:ADE001
Daedric Shortsword of Lethargy,Requiem.esp:ADE025
Daedric Shortsword of Lightning,Requiem.esp:ADE01F
Daedric Shortsword of Malediction,Requiem.esp:ADE022
Daedric Shortsword of Nullifying,Requiem.esp:ADE01A
Daedric Shortsword of Petrifying,Requiem.esp:ADE01D
Daedric Shortsword of Repulsion,Requiem.esp:ADE027
Daedric Shortsword of Storms,Requiem.esp:ADE020
Daedric Shortsword of Stunning,Requiem.esp:ADE01B
Daedric Shortsword of Subsuming,Requiem.esp:ADE008
Daedric Shortsword of Terror,Requiem.esp:ADE011
Daedric Shortsword of the Blaze,Requiem.esp:ADE013
Daedric Shortsword of the Inferno,Requiem.esp:ADE014
Daedric Shortsword of the Sorcerer,Requiem.esp:ADE005
Daedric Shortsword of the Vampire,Requiem.esp:ADE002
Daedric Shortsword of Thunderbolts,Requiem.esp:ADE01E
Daedric Shortsword of Turning,Requiem.esp:ADE028
Daedric Shortsword of Ultimate Chaos,Requiem.esp:ADE00E
Daedric Shortsword of Winnowing,Requiem.esp:ADE003
Daedric Shortsword of Winter,Requiem.esp:ADE017
Daedric Shortsword,Requiem.esp:ADDEF4
Daedric Smithing,Skyrim.esm:0CB413
Daedric Staff of Infernal Flames,Requiem.esp:072182
Daedric Staff of the Souldrinker,Requiem.esp:0731CD
Daedric Staff of Torn Heavens,Requiem.esp:072187
Daedric Sword of Animus,Skyrim.esm:028FED
Daedric Sword of Annihilating,Skyrim.esm:028E83
Daedric Sword of Banishing,Skyrim.esm:028E81
Daedric Sword of Blizzards,Skyrim.esm:028EDC
Daedric Sword of Damnation,Skyrim.esm:02950E
Daedric Sword of Debilitation,Skyrim.esm:029527
Daedric Sword of Depleting,Skyrim.esm:028EF9
Daedric Sword of Despair,Skyrim.esm:028E84
Daedric Sword of Devouring,Skyrim.esm:028E78
Daedric Sword of Dread,Skyrim.esm:028E85
Daedric Sword of Enervating,Skyrim.esm:028EFB
Daedric Sword of Evoking,Skyrim.esm:028E7C
Daedric Sword of Exhaustion,Skyrim.esm:02954B
Daedric Sword of Expelling,Skyrim.esm:028E82
Daedric Sword of Fire,Skyrim.esm:028E87
Daedric Sword of Freezing,Skyrim.esm:028EDB
Daedric Sword of Garnering,Skyrim.esm:028E7F
Daedric Sword of Harvesting,Skyrim.esm:028E7E
Daedric Sword of Holy Light,Skyrim.esm:029560
Daedric Sword of Immobilizing,Skyrim.esm:028F8D
Daedric Sword of Leeching,Skyrim.esm:028E79
Daedric Sword of Lethargy,Skyrim.esm:029543
Daedric Sword of Lightning,Skyrim.esm:028FE1
Daedric Sword of Malediction,Skyrim.esm:029043
Daedric Sword of Nullifying,Skyrim.esm:028F46
Daedric Sword of Petrifying,Skyrim.esm:028FDD
Daedric Sword of Repulsion,Skyrim.esm:02955B
Daedric Sword of Storms,Skyrim.esm:028FEC
Daedric Sword of Stunning,Skyrim.esm:028F8C
Daedric Sword of Subsuming,Skyrim.esm:028E80
Daedric Sword of Terror,Skyrim.esm:028E86
Daedric Sword of the Blaze,Skyrim.esm:028E89
Daedric Sword of the Inferno,Skyrim.esm:028E96
Daedric Sword of the Sorcerer,Skyrim.esm:028E7D
Daedric Sword of the Vampire,Skyrim.esm:028E7A
Daedric Sword of Thunderbolts,Skyrim.esm:028FDE
Daedric Sword of Turning,Skyrim.esm:02955F
Daedric Sword of Winnowing,Skyrim.esm:028E7B
Daedric Sword of Winter,Skyrim.esm:028EE9
Daedric Sword,Requiem.esp:AD3A88
Daedric Sword,Skyrim.esm:0139B9
Daedric Tanto,Requiem.esp:ADDE0C
Daedric Wakizashi,Requiem.esp:ADDE0B
Daedric War Axe of Animus,Skyrim.esm:02958C
Daedric War Axe of Annihilating,Skyrim.esm:029578
Daedric War Axe of Banishing,Skyrim.esm:029576
Daedric War Axe of Blizzards,Skyrim.esm:029580
Daedric War Axe of Damnation,Skyrim.esm:02958E
Daedric War Axe of Debilitation,Skyrim.esm:02958F
Daedric War Axe of Depleting,Skyrim.esm:029582
Daedric War Axe of Despair,Skyrim.esm:029579
Daedric War Axe of Devouring,Skyrim.esm:029561
Daedric War Axe of Dread,Skyrim.esm:02957A
Daedric War Axe of Enervating,Skyrim.esm:029583
Daedric War Axe of Evoking,Skyrim.esm:029571
Daedric War Axe of Exhaustion,Skyrim.esm:029594
Daedric War Axe of Expelling,Skyrim.esm:029577
Daedric War Axe of Fire,Skyrim.esm:02957C
Daedric War Axe of Freezing,Skyrim.esm:02957F
Daedric War Axe of Garnering,Skyrim.esm:029574
Daedric War Axe of Harvesting,Skyrim.esm:029573
Daedric War Axe of Holy Light,Skyrim.esm:029597
Daedric War Axe of Immobilizing,Skyrim.esm:029586
Daedric War Axe of Leeching,Skyrim.esm:029562
Daedric War Axe of Lethargy,Skyrim.esm:029591
Daedric War Axe of Lightning,Skyrim.esm:029589
Daedric War Axe of Malediction,Skyrim.esm:02958D
Daedric War Axe of Nullifying,Skyrim.esm:029584
Daedric War Axe of Petrifying,Skyrim.esm:029587
Daedric War Axe of Repulsion,Skyrim.esm:029595
Daedric War Axe of Storms,Skyrim.esm:02958A
Daedric War Axe of Stunning,Skyrim.esm:029585
Daedric War Axe of Subsuming,Skyrim.esm:029575
Daedric War Axe of Terror,Skyrim.esm:02957B
Daedric War Axe of the Blaze,Skyrim.esm:02957D
Daedric War Axe of the Inferno,Skyrim.esm:02957E
Daedric War Axe of the Sorcerer,Skyrim.esm:029572
Daedric War Axe of the Vampire,Skyrim.esm:029563
Daedric War Axe of Thunderbolts,Skyrim.esm:029588
Daedric War Axe of Turning,Skyrim.esm:029596
Daedric War Axe of Winnowing,Skyrim.esm:029567
Daedric War Axe of Winter,Skyrim.esm:029581
Daedric War Axe,Requiem.esp:AD3A89
Daedric War Axe,Skyrim.esm:0139B3
Daedric Warhammer of Animus,Skyrim.esm:0295B7
Daedric Warhammer of Annihilating,Skyrim.esm:0295A4
Daedric Warhammer of Banishing,Skyrim.esm:0295A2
Daedric Warhammer of Blizzards,Skyrim.esm:0295AC
Daedric Warhammer of Damnation,Skyrim.esm:0295B9
Daedric Warhammer of Debilitation,Skyrim.esm:0295BA
Daedric Warhammer of Depleting,Skyrim.esm:0295AE
Daedric Warhammer of Despair,Skyrim.esm:0295A5
Daedric Warhammer of Devouring,Skyrim.esm:029598
Daedric Warhammer of Dread,Skyrim.esm:0295A6
Daedric Warhammer of Enervating,Skyrim.esm:0295AF
Daedric Warhammer of Evoking,Skyrim.esm:02959C
Daedric Warhammer of Exhaustion,Skyrim.esm:0295BC
Daedric Warhammer of Expelling,Skyrim.esm:0295A3
Daedric Warhammer of Fire,Skyrim.esm:0295A8
Daedric Warhammer of Freezing,Skyrim.esm:0295AB
Daedric Warhammer of Garnering,Skyrim.esm:0295A0
Daedric Warhammer of Harvesting,Skyrim.esm:02959E
Daedric Warhammer of Holy Light,Skyrim.esm:0295BF
Daedric Warhammer of Immobilizing,Skyrim.esm:0295B2
Daedric Warhammer of Leeching,Skyrim.esm:029599
Daedric Warhammer of Lethargy,Skyrim.esm:0295BB
Daedric Warhammer of Lightning,Skyrim.esm:0295B5
Daedric Warhammer of Malediction,Skyrim.esm:0295B8
Daedric Warhammer of Nullifying,Skyrim.esm:0295B0
Daedric Warhammer of Petrifying,Skyrim.esm:0295B3
Daedric Warhammer of Repulsion,Skyrim.esm:0295BD
Daedric Warhammer of Storms,Skyrim.esm:0295B6
Daedric Warhammer of Stunning,Skyrim.esm:0295B1
Daedric Warhammer of Subsuming,Skyrim.esm:0295A1
Daedric Warhammer of Terror,Skyrim.esm:0295A7
Daedric Warhammer of the Blaze,Skyrim.esm:0295A9
Daedric Warhammer of the Inferno,Skyrim.esm:0295AA
Daedric Warhammer of the Sorcerer,Skyrim.esm:02959D
Daedric Warhammer of the Vampire,Skyrim.esm:02959A
Daedric Warhammer of Thunderbolts,Skyrim.esm:0295B4
Daedric Warhammer of Turning,Skyrim.esm:0295BE
Daedric Warhammer of Winnowing,Skyrim.esm:02959B
Daedric Warhammer of Winter,Skyrim.esm:0295AD
Daedric Warhammer,Requiem.esp:AD3A8A
Daedric Warhammer,Skyrim.esm:0139BA
Daedroth Teeth,ccbgssse037-curios.esl:001826
Dagger Focus,Requiem.esp:AD3998
Dagger Focus,Requiem.esp:AD3999
Dagger Focus,Requiem.esp:AD399A
Damaged Albino Spider Pod,Dragonborn.esm:01771F
Dark Battleaxe,ccbgssse025-advdsgs.esm:000839
Dark Bow,ccbgssse025-advdsgs.esm:000802
Dark Bow,ccbgssse025-advdsgs.esm:00098E
Dark Dagger,ccbgssse025-advdsgs.esm:000821
Dark Dagger,ccbgssse025-advdsgs.esm:000A08
Dark Dai-Katana,Requiem.esp:ADDED9
Dark Greatsword,ccbgssse025-advdsgs.esm:000825
Dark Infusion,Skyrim.esm:0581DE
Dark Katana,Requiem.esp:ADDED6
Dark Mace,ccbgssse025-advdsgs.esm:000824
Dark Mace,ccbgssse025-advdsgs.esm:00098F
Dark Seducer Armor,ccbgssse025-advdsgs.esm:000873
Dark Seducer Armor,ccbgssse025-advdsgs.esm:0008E5
Dark Seducer Boots,ccbgssse025-advdsgs.esm:000874
Dark Seducer Boots,ccbgssse025-advdsgs.esm:00098C
Dark Seducer Gauntlets,ccbgssse025-advdsgs.esm:000872
Dark Seducer Gauntlets,ccbgssse025-advdsgs.esm:000960
Dark Seducer Helmet,ccbgssse025-advdsgs.esm:000871
Dark Seducer Helmet,ccbgssse025-advdsgs.esm:000985
Dark Seducer Shield,ccbgssse025-advdsgs.esm:000805
Dark Seducer Shield,ccbgssse025-advdsgs.esm:000986
Dark Souls,Skyrim.esm:0581DE
Dark Sword,ccbgssse025-advdsgs.esm:000823
Dark Sword,ccbgssse025-advdsgs.esm:000990
Dark Tanto,Requiem.esp:ADDED8
Dark Wakizashi,Requiem.esp:ADDED7
Dark War Axe,ccbgssse025-advdsgs.esm:000829
Dark War Axe,ccbgssse025-advdsgs.esm:000991
Dark Warhammer,ccbgssse025-advdsgs.esm:000828
Dart Trap Weapon,Skyrim.esm:0142E3
Dart Trap Weapon,Skyrim.esm:0391B1
Dart Trap Weapon,Skyrim.esm:0391B2
Dart Trap Weapon,Skyrim.esm:0391B3
Dart Trap Weapon,Skyrim.esm:0391B4
Dart Trap Weapon,Skyrim.esm:0391B5
Dart Trap Weapon,Skyrim.esm:10A257
Dart Trap Weapon,Skyrim.esm:10A258
Dart Trap Weapon,Skyrim.esm:10A259
Dart Trap Weapon,Skyrim.esm:10A25A
Dart Trap Weapon,Skyrim.esm:10A25B
Dart Trap Weapon,Skyrim.esm:10A25C
Dawnbreaker,Skyrim.esm:04E4EE
Dawnguard Armor,Dawnguard.esm:0050C6
Dawnguard Armor,Dawnguard.esm:00F3FB
Dawnguard Armor,Dawnguard.esm:00F402
Dawnguard Armor,Dawnguard.esm:00F404
Dawnguard Battleaxe,Requiem.esp:ADDF5F
Dawnguard Boots,Dawnguard.esm:0050C5
Dawnguard Boots,Dawnguard.esm:00F400
Dawnguard Crossbow of Arcing,Dawnguard.esm:00D0C4
Dawnguard Crossbow of Aversion,Dawnguard.esm:00D0BF
Dawnguard Crossbow of Binding,Dawnguard.esm:00D0C2
Dawnguard Crossbow of Burning,Dawnguard.esm:00D0CB
Dawnguard Crossbow of Diminishing,Dawnguard.esm:00D0C9
Dawnguard Crossbow of Dismissal,Dawnguard.esm:00D0BD
Dawnguard Crossbow of Draining,Dawnguard.esm:00D0C7
Dawnguard Crossbow of Embers,Dawnguard.esm:00D0CA
Dawnguard Crossbow of Rebuke,Dawnguard.esm:00D0BE
Dawnguard Crossbow of Sapping,Dawnguard.esm:00D0C6
Dawnguard Crossbow of Scorching,Dawnguard.esm:00D0CC
Dawnguard Crossbow of Shocks,Dawnguard.esm:00D0C5
Dawnguard Crossbow of Soul Snares,Dawnguard.esm:00D0C1
Dawnguard Crossbow of Souls,Dawnguard.esm:00D0C0
Dawnguard Crossbow of Sparks,Dawnguard.esm:00D0C3
Dawnguard Crossbow,Requiem.esp:AD3746
Dawnguard Full Helmet,Dawnguard.esm:0050D0
Dawnguard Gauntlets,Dawnguard.esm:0050C7
Dawnguard Gauntlets,Dawnguard.esm:00F3FE
Dawnguard Heavy Armor,Dawnguard.esm:00F3F7
Dawnguard Heavy Armor,Dawnguard.esm:00F3FA
Dawnguard Heavy Boots of Frost Abatement,Requiem.esp:AE382C
Dawnguard Heavy Boots,Dawnguard.esm:014757
Dawnguard Heavy Cuirass of Extreme Health,Requiem.esp:AE382A
Dawnguard Heavy Cuirass of Extreme Health,Requiem.esp:AE382B
Dawnguard Heavy Cuirass,Dawnguard.esm:00F3F7
Dawnguard Heavy Cuirass,Dawnguard.esm:00F3FA
Dawnguard Heavy Gauntlets of Extreme Archery,Requiem.esp:AE382F
Dawnguard Heavy Gauntlets of Extreme Sure Grip,Requiem.esp:AE382E
Dawnguard Heavy Gauntlets of Extreme Wielding,Requiem.esp:AE382D
Dawnguard Heavy Gauntlets,Dawnguard.esm:014758
Dawnguard Heavy Helmet of Extreme Restoration,Requiem.esp:AE3830
Dawnguard Heavy Helmet,Dawnguard.esm:0050D0
Dawnguard Helmet,Dawnguard.esm:01989E
Dawnguard Light Boots of Frost Abatement,Requiem.esp:AE3834
Dawnguard Light Boots,Dawnguard.esm:00F400
Dawnguard Light Cuirass of Extreme Health,Requiem.esp:AE3831
Dawnguard Light Cuirass of Extreme Health,Requiem.esp:AE3832
Dawnguard Light Cuirass of Extreme Health,Requiem.esp:AE3833
Dawnguard Light Cuirass,Dawnguard.esm:00F3FB
Dawnguard Light Cuirass,Dawnguard.esm:00F402
Dawnguard Light Cuirass,Dawnguard.esm:00F404
Dawnguard Light Gauntlets of Extreme Archery,Requiem.esp:AE3837
Dawnguard Light Gauntlets of Extreme Sure Grip,Requiem.esp:AE3836
Dawnguard Light Gauntlets of Extreme Wielding,Requiem.esp:AE3835
Dawnguard Light Gauntlets,Dawnguard.esm:00F3FE
Dawnguard Light Helmet of Extreme Restoration,Requiem.esp:AE3838
Dawnguard Light Helmet,Dawnguard.esm:01989E
Dawnguard Mace,Requiem.esp:ADDF60
Dawnguard Quarterstaff,Requiem.esp:ADDF61
Dawnguard Rune Axe,Dawnguard.esm:01668C
Dawnguard Rune Hammer,Dawnguard.esm:011BAD
Dawnguard Rune Shield,Dawnguard.esm:011BAF
Dawnguard Shield,Dawnguard.esm:0150B8
Dawnguard War Axe,Dawnguard.esm:00D098
Dawnguard Warhammer,Dawnguard.esm:00DD55
Deadly Aim,Skyrim.esm:1036F0
Deadly Aversion to Fire,Skyrim.esm:073F4C
Deadly Aversion to Frost,Skyrim.esm:073F50
Deadly Aversion to Magic,Skyrim.esm:073F59
Deadly Aversion to Shock,Skyrim.esm:073F55
Deadly Bash,Skyrim.esm:05F594
Deadly Fear Poison,Skyrim.esm:073F61
Deadly Frenzy Poison,Skyrim.esm:073F5D
Deadly Lingering Poison,Skyrim.esm:073F38
Deadly Magicka Poison,Skyrim.esm:073F3C
Deadly Paralysis Poison,Skyrim.esm:074A3B
Deadly Poison,Skyrim.esm:073F34
Deadly Recovery Poison,Skyrim.esm:073F94
Deadly Stamina Poison,Skyrim.esm:073F44
Death Hound Collar,Dawnguard.esm:00F709
Deathbell (3),HearthFires.esm:000B32
Deathbell,Skyrim.esm:0516C8
Deathbrand Armor,Dragonborn.esm:02401B
Deathbrand Armor,Dragonborn.esm:037FEF
Deathbrand Boots,Dragonborn.esm:02401A
Deathbrand Boots,Dragonborn.esm:037FEE
Deathbrand Cuirass,Dragonborn.esm:02401B
Deathbrand Cuirass,Dragonborn.esm:037FEF
Deathbrand Gauntlets,Dragonborn.esm:02401C
Deathbrand Gauntlets,Dragonborn.esm:037FF0
Deathbrand Helm,Dragonborn.esm:02401D
Deathbrand Helm,Dragonborn.esm:037FF1
Deathbrand Helmet,Dragonborn.esm:02401D
Deathbrand Helmet,Dragonborn.esm:037FF1
Deathbrand Treasure Map,Dragonborn.esm:02BAAE
Deep Freeze,Skyrim.esm:0F3933
Deep Wounds,Skyrim.esm:03AF83
Deep Wounds,Skyrim.esm:0C1E94
Deep Wounds,Skyrim.esm:0C1E95
Deer Hide,Skyrim.esm:03AD90
Deer Hide,Skyrim.esm:0D284D
Deer Pelt,Skyrim.esm:0CF89E
Deer,HearthFires.esm:00A33D
Deer,unofficial skyrim special edition patch.esp:002E9F
Defensive Stance,Skyrim.esm:106253
Deflect Arrows,Skyrim.esm:058F68
Deft Movement,Skyrim.esm:107831
Deft Strike,Skyrim.esm:058210
Delusive Phantasms,Skyrim.esm:0581E1
Denstagmer's Ring,ccbgssse001-fish.esm:000B2B
Dented Iron Shield,Dragonborn.esm:03399C
Desk,HearthFires.esm:005A22
Destruction Dual Casting,Skyrim.esm:0153CF
Destruction Staff,Skyrim.esm:0BE11F
Destructive Urge,Requiem.esp:394934
Detect All Creatures,Dawnguard.esm:00599B
Devastating Blow,Skyrim.esm:052D52
Devastating Charge,Skyrim.esm:0CB407
Devastating Cleave,Skyrim.esm:03AFA7
Devastating Strike,Skyrim.esm:052D52
Dexterity,Skyrim.esm:051B1C
Diadem of the Savant,Skyrim.esm:0F9904
Diamond Claw,Skyrim.esm:0AB375
Diamond Dragon Claw,Skyrim.esm:0AB375
Diamond Paragon,Dawnguard.esm:012FC3
Diamond,Skyrim.esm:063B47
Dibella Statue,Skyrim.esm:08F997
Dining Table and Chairs,HearthFires.esm:005A13
Direfish,ccbgssse001-fish.esm:000896
Disarming Bash,Skyrim.esm:058F66
Disguised Invisibility Potion,ccbgssse001-fish.esm:000BB7
Disintegrate,Skyrim.esm:0F3F0E
Display Case and Cupboard,HearthFires.esm:00C738
Display Case and Cupboard,HearthFires.esm:00C739
Display Case and Shelf,HearthFires.esm:005A36
Display Case and Small Wardrobe,HearthFires.esm:005A26
Display Case and Small Wardrobe,HearthFires.esm:005A41
Display Case on Low Table,HearthFires.esm:005A19
Display Case on Low Table,HearthFires.esm:005A45
Display Case,HearthFires.esm:005A2D
Display Case,HearthFires.esm:005A2E
DLC1VampireLordCape,Dawnguard.esm:015BC1
Do Not Delete,Skyrim.esm:0C7316
Do Not Delete,Skyrim.esm:0EA5C5
Do Not Delete,Skyrim.esm:103370
Do Not Delete,Skyrim.esm:10C762
Dodge,Skyrim.esm:079376
Dog Meat,Skyrim.esm:0EDB2E
Domination,Skyrim.esm:059B76
Double Bed,HearthFires.esm:005A3B
Double-Distilled Skooma,Skyrim.esm:03F4BD
Draconic Blacksmithing,Skyrim.esm:052190
Dragon Armor,Skyrim.esm:052190
Dragon Aspect - Arms,Dragonborn.esm:01DF8F
Dragon Aspect - Head,Dragonborn.esm:01DF9B
Dragon Bone,Skyrim.esm:03ADA4
Dragon Heartscales,Skyrim.esm:0D0756
Dragon Infusion,Skyrim.esm:0F5FF9
Dragon Priest Dagger,Skyrim.esm:01C1FE
Dragon Priest Staff,Skyrim.esm:04DE5B
Dragon Priest Staff,Skyrim.esm:07E5BB
Dragon Research,Skyrim.esm:0E6DF0
Dragon Scales,Skyrim.esm:03ADA3
Dragon Skull,HearthFires.esm:00A33F
Dragon Smithing,Skyrim.esm:052190
Dragonbane,Skyrim.esm:0F1AC1
Dragonbane,Skyrim.esm:0F71CD
